Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
thiopropazate,C,"When given in high doses during late pregnancy, phenothiazines have caused prolonged neurological disturbances in the newborn infant.",Central Nervous System,Antipsychotic drugs,Phenothiazines
thioridazine,C,"When given in high doses during late pregnancy, phenothiazines have caused prolonged neurological disturbances in the newborn infant.",Central Nervous System,Antipsychotic drugs,Phenothiazines
thiotepa,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Alkylating agents,
thiothixene,C,"Neonates exposed to antipsychotic drugs during the third trimester of pregnancy are at risk of experiencing extrapyramidal neurological disturbances and/or withdrawal symptoms following delivery. There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates.",Central Nervous System,Antipsychotic drugs,
thrombin,B2,,Cardiovascular System,Haemostatic agents,
thyrotrophin,B2,,Endocrine System,Pituitary hormones,
thyrotropin alfa,B2,,Diagnostic Agents,Radiographic agents,
thyroxine (levothyroxine),A,,Endocrine System,Thyroid hormones,
tiagabine,B3,"Compared to conventional anticonvulsants, the extent of the risk of this drug is unknown.",Central Nervous System,Anticonvulsants/antiepileptics,
tiaprofenic acid,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
tibolone,D,Oral treatment with this drug during the period of organogenesis was associated with fetal malformations in rats and rabbits.,Endocrine System,Hormonal agents,
ticagrelor                                                                                 ,B1,,Cardiovascular System,,
ticarcillin ,B2,,Antimicrobials,Antibiotics,Penicillins
ticlopidine,B1,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
tigecycline,D,Tetracyclines are safe for use during the first 18 weeks of pregnancy (16 weeks post conception) after which they cause discolouration of the baby’s teeth. ,Antimicrobials,Antibiotics,Tetracyclines
tildrakizumab,B1,,Allergy and Immune System,Immunomodifiers,
tilmanocept,C,"There are no data from the use of tilmanocept in pregnant women. No reproductive toxicity studies in animals were performed, and it is not known if tilmanocept can cause fetal harm when administered to a pregnant woman. Radionuclide procedures carried out on pregnant women also involve radiation dose to the fetus. Only essential investigations should therefore be carried out during pregnancy, when the likely benefit far exceeds the risk incurred by the mother and fetus.",Diagnostic Agents,Radiographic agents,
tiludronate disodium,B2,,Endocrine System,Agents affecting calcium and bone metabolism,
timolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
timolol (ophthalmic),C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Ophthalmic Drugs,,
tinidazole,B3,,Antimicrobials,Antibiotics,
tinzaparin,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
tioguanine,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
tiotropium,B1,,Respiratory System,Inhalational agents,Bronchospasm relaxants
tipranavir,B3,,Antimicrobials,Antiviral agents,
tirilazad,B2,,Cardiovascular System,,
tirofiban hydrochloride,B1,,Cardiovascular System,Antiangina agents,
tirzepatide,D,,Endocrine System,Hypoglycaemic agents,
tisagenlecleucel                                                               ,C,"Based on the mechanism of action, if the transduced cells cross the placenta, they may cause fetal toxicity, including B-cell lymphocytopaenia.",Antineoplastic Agents,,
tislelizumab,D,"PD-1/PD-L1 is involved in fetomaternal tolerance. Administration during pregnancy may cause fetal harm, including abortion or stillbirth.",Antineoplastic Agents,Monoclonal antibodies,
tixagevimab; cilgavimab ,B2,,Antimicrobials,Antiviral agents,Antiviral monoclonal antibodies
tobramycin,D,"There is evidence of selective uptake of aminoglycosides by the fetal kidney resulting in damage (probably reversible) to immature nephrons. Eighth cranial nerve damage has also been reported following in utero exposure to some of the aminoglycosides. Because of their chemical similarity, all aminoglycosides must be considered potentially nephrotoxic and ototoxic to the fetus. It should also be noted that therapeutic blood concentrations in the mother do not equate with safety for the fetus.",Antimicrobials,Antibiotics,Aminoglycosides
tocilizumab (rch),C,IgG antibodies are known to cross the placental barrier. This drug has the potential to affect embryofetal survival due to its pharmacological action.,Allergy and Immune System,Immunomodifiers,
tofacitinib (as citrate),D,"This drug is embryotoxic in both pregnant rats and rabbits, and teratogenic when administered to pregnant animals.",Allergy and Immune System,Immunomodifiers,
tolazamide,C,Sulphonylureas may enter the fetal circulation and may cause neonatal hypoglycaemia.,Endocrine System,Hypoglycaemic agents,
tolbutamide,C,Sulphonylureas may enter the fetal circulation and may cause neonatal hypoglycaemia.,Endocrine System,Hypoglycaemic agents,
tolcapone,B3,,Central Nervous System,Antiparkinson agents,
tolterodine,B3,,Genitourinary System,Prostate hyperplasia,
tolvaptan,D,"Animal studies have shown adverse effects on embryofetal development (embryofetal death, microphthalmia, cleft palate, brachymelia and skeletal malformations), which were observed in conjunction with maternal toxicity, although a direct effect cannot be excluded. Tolvaptan should not be used during pregnancy unless the potential benefit justifies the potential risk to the fetus.",Cardiovascular System,Diuretics,
topiramate,D,Topiramate can cause fetal harm when administered to a pregnant woman. Data from pregnancy registries indicate that infants exposed to topiramate in utero have an increased risk of congenital malformations.,Central Nervous System,Anticonvulsants/antiepileptics,
topotecan,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
toremifene,B3,,Antineoplastic Agents,Hormonal antineoplastic agents,
trabectedin,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
tramadol,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
trametinib dimethyl sulfoxide,D,This drug is embryotoxic in both pregnant rats and rabbits.,Antineoplastic Agents,Tyrosine kinase inhibitors,
trandolapril,D,"When taken during the second and third trimesters, ACE inhibitors cause a range of abnormalities including renal dysfunction and oligohydramnios. These can be associated with fetal death in utero. Although no adverse fetal effects have been linked to first trimester drug use of ACE inhibitors, the number of exposures reported is too small to determine conclusively that ACE inhibitors are safe in the first trimester.  Pregnant women who are taking ACE inhibitors should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure.  It is generally advisable not to use ACE inhibitors for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors
tranexamic acid ,B1,,Cardiovascular System,Haemostatic agents,
tranylcypromine,B2,,Central Nervous System,Antidepressants,Monoamine oxidase inhibitors
trastuzumab,D,,Antineoplastic Agents,Monoclonal antibodies,
trastuzumab deruxtecan,D,"Based on findings in animals and its mechanism of action, trastuzumab deruxtecan may cause embryo-fetal harm (embryotoxicity and teratogenicity) when administered to a pregnant woman.",Antineoplastic Agents,Monoclonal antibodies,
trastuzumab emtansine (rch),D,"IgG antibodies are known to cross the placental barrier, and this drug may inhibit angiogenesis in the fetus. Angiogenesis has been shown to be critically important to fetal development.",Antineoplastic Agents,Monoclonal antibodies,
travoprost,B3,,Ophthalmic Drugs,,
travoprost / timolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Ophthalmic Drugs,,
treosulfan,D,"Based on the mechanism of action and genotoxic potential of treosulfan, there is a risk for fetal toxicity and teratogenicity.",Antineoplastic Agents,Alkylating agents,
treprostinil,B3,,Cardiovascular System,Vasodilators,
tretinoin,D,"Use of tretinoin cream formulation during the first trimester does not appear to cause birth defects. Other formulations should not be used during pregnancy. There have been isolated reports of birth defects in babies born to women using topical tretinoin in pregnancy, some similar to those reported with oral retinoids. While a retrospective cohort study on women exposed to tretinoin in the first trimester did not reveal an association with this treatment, the numbers in this study are too small to establish the safety of use in pregnancy.  ",Drugs used in Dermatology,Topical,
